Ticker,Company Name,Sector,Date,Incorporation Region,Filing Link
CDNS,CADENCE DESIGN SYSTEMS INC,Information technology,2022-02-22,DELAWARE,https://www.sec.gov/Archives/edgar/data/813672/000081367222000012/cdns-20220101.htm
PSX,Phillips 66,Energy,2022-02-18,DELAWARE,https://www.sec.gov/Archives/edgar/data/1534701/000153470122000078/psx-20211231.htm
KMI,"KINDER MORGAN, INC.",Energy,2022-02-07,DELAWARE,https://www.sec.gov/Archives/edgar/data/1506307/000150630722000018/kmi-20211231.htm
DXCM,DEXCOM INC,Health Care,2022-02-14,DELAWARE,https://www.sec.gov/Archives/edgar/data/1093557/000109355722000014/dxcm-20211231.htm
CTVA,"Corteva, Inc.",Large cap,2022-02-10,DELAWARE,https://www.sec.gov/Archives/edgar/data/30554/000175567222000005/ctva-20211231.htm
OXY,OCCIDENTAL PETROLEUM CORP /DE/,Energy,2021-02-26,DELAWARE,https://www.sec.gov/Archives/edgar/data/797468/000079746821000009/oxy-20201231.htm
RSG,"REPUBLIC SERVICES, INC.",Industrials,2022-02-10,DELAWARE,https://www.sec.gov/Archives/edgar/data/1060391/000106039122000007/rsg-20211231.htm
WELL,WELLTOWER INC.,Real Estate,2022-02-16,DELAWARE,https://www.sec.gov/Archives/edgar/data/766704/000076670422000013/well-20211231.htm
DVN,DEVON ENERGY CORP/DE,Energy,2022-02-16,DELAWARE,https://www.sec.gov/Archives/edgar/data/1090012/000156459022005321/dvn-10k_20211231.htm
EA,ELECTRONIC ARTS INC.,Communication Services,2021-05-26,DELAWARE,https://www.sec.gov/Archives/edgar/data/712515/000071251521000064/ea-20210331.htm
TDG,TransDigm Group INC,Industrials,2022-01-28,DELAWARE,https://www.sec.gov/Archives/edgar/data/1260221/000126022122000004/tdg-20210930.htm
SIVB,SVB FINANCIAL GROUP,Financials,2022-03-01,UNKNOWN,https://www.sec.gov/Archives/edgar/data/719739/000071973922000023/sivb-20211231.htm
MSI,"Motorola Solutions, Inc.",Information Technology,2022-02-16,DELAWARE,https://www.sec.gov/Archives/edgar/data/68505/000006850522000010/msi-20211231.htm
EBAY,EBAY INC,Consumer Discretionary,2022-02-24,DELAWARE,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/ebay-20211231.htm
YUM,YUM BRANDS INC,Consumer Discretionary,2022-02-22,NORTH CAROLINA,https://www.sec.gov/Archives/edgar/data/1041061/000104106122000009/yum-20211231.htm
WMB,"WILLIAMS COMPANIES, INC.",Energy,2022-02-28,DELAWARE,https://www.sec.gov/ix?doc=/Archives/edgar/data/107263/000010726322000007/wmb-20211231.htm
DFS,Discover Financial Services,Financials,2022-02-24,DELAWARE,https://www.sec.gov/ix?doc=/Archives/edgar/data/1393612/000139361222000007/dfs-20211231.htm
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,2022-02-04,NEVADA,https://www.sec.gov/Archives/edgar/data/1300514/000130051422000007/lvs-20211231.htm
XEL,XCEL ENERGY INC,Utilities,2022-02-23,MINNESOTA,https://www.sec.gov/Archives/edgar/data/72903/000007290322000010/xel-20211231.htm
VLO,VALERO ENERGY CORP/TX,Energy,2022-02-22,DELAWARE,https://www.sec.gov/Archives/edgar/data/1035002/000103500222000007/vlo-20211231.htm
PPG,PPG INDUSTRIES INC,Materials,2022-02-17,PENNSYLVANIA,https://www.sec.gov/Archives/edgar/data/79879/000007987922000009/ppg-20211231.htm
TT,Trane Technologies plc,Industrials,2022-02-07,IRELAND,https://www.sec.gov/Archives/edgar/data/1466258/000146625822000031/tt-20211231.htm
ALL,ALLSTATE CORP,Financials,2022-02-18,DELAWARE,https://www.sec.gov/Archives/edgar/data/899051/000089905122000015/all-20211231.htm
GLW,CORNING INC /NY,Information Technology,2022-02-14,NEW YORK,https://www.sec.gov/Archives/edgar/data/24741/000143774922003247/glw20211231_10k.htm
NUE,NUCOR CORP,Materials,2022-02-28,DELAWARE,https://www.sec.gov/Archives/edgar/data/73309/000156459022007679/nue-10k_20211231.htm
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,Materials,2022-02-28,NEW YORK,https://www.sec.gov/Archives/edgar/data/51253/000005125322000007/iff-20211231.htm
RMD,RESMED INC,Health Care,2021-08-19,DELAWARE,https://www.sec.gov/Archives/edgar/data/943819/000094381921000020/rmd-20210630x10ka.htm
STT,STATE STREET CORP,Financials,2022-02-17,MASSACHUSETTS,https://www.sec.gov/Archives/edgar/data/93751/000009375122000424/stt-20211231.htm
TSN,"TYSON FOODS, INC.",Consumer Staples,2021-11-15,DELAWARE,https://www.sec.gov/Archives/edgar/data/100493/000010049321000122/tsn-20211002.htm
LYB,LyondellBasell Industries N.V.,Materials,2022-02-24,NETHERLANDS,https://www.sec.gov/Archives/edgar/data/1489393/000148939322000009/lyb-20211231.htm
AMP,AMERIPRISE FINANCIAL INC,Financials,2022-02-25,DELAWARE,https://www.sec.gov/Archives/edgar/data/820027/000082002722000016/amp-20211231.htm
CBRE,"CBRE GROUP, INC.",Real Estate,2022-02-28,DELAWARE,https://www.sec.gov/Archives/edgar/data/1138118/000113811822000010/cbre-20211231.htm
ODFL,"OLD DOMINION FREIGHT LINE, INC.",Industrials,2022-02-23,VIRGINIA,https://www.sec.gov/Archives/edgar/data/878927/000156459022006303/odfl-10k_20211231.htm
